Year,Level 0,Level 1,Level 2,Level 3,Level 4,Current Metric,Value
2020,EBIT,,,,,EBITDA,185789000000.0
2020,EBIT,EBITDA,,,,Net Income,149433000000.0
2020,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,140350000000.0
2020,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2020,EBIT,,,,,Income Before Tax,166645000000.0
2020,EBIT,Income Before Tax,,,,Income Tax Expense,20562000000.0
2020,Income Before Tax,,,,,Income Tax Expense,20562000000.0
2020,EBITDA,,,,,Net Income,149433000000.0
2020,EBITDA,Net Income,,,,Net Income from Continuing Operations,140350000000.0
2020,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2020,Net Income,,,,,Net Income from Continuing Operations,140350000000.0
2020,Net Income,,,,,Comprehensive Income Net of Tax,
2020,Net Interest Income,,,,,Interest Income,72956000000.0
2020,Net Interest Income,,,,,Interest Expense,5180000000.0
2019,Total Revenue,,,,,Cost of Revenue,206929000000.0
2019,Total Revenue,,,,,Gross Profit,169915000000.0
2019,Total Revenue,Gross Profit,,,,Operating Income,57084000000.0
2019,Total Revenue,Gross Profit,Operating Income,,,EBIT,101411000000.0
2019,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,112138000000.0
2019,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,87886000000.0
2019,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,96221000000.0
2019,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,16553000000.0
2019,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,112831000000.0
2019,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2019,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,10727000000.0
2019,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",24889000000.0
2019,Total Revenue,Gross Profit,,,,Research and Development,37435000000.0
2019,Total Revenue,,,,,Non-Interest Income,
2019,Total Revenue,,,,,Other Non-Operating Income,0.0
2019,Total Revenue,,,,,Investment Income Net,
2019,Total Revenue,,,,,Net Interest Income,38916000000.0
2019,Total Revenue,Net Interest Income,,,,Interest Income,44106000000.0
2019,Total Revenue,Net Interest Income,,,,Interest Expense,5190000000.0
2019,Gross Profit,,,,,Operating Income,57084000000.0
2019,Gross Profit,Operating Income,,,,EBIT,101411000000.0
2019,Gross Profit,Operating Income,EBIT,,,EBITDA,112138000000.0
2019,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,87886000000.0
2019,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,80234000000.0
2019,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2019,Gross Profit,Operating Income,EBIT,,,Income Before Tax,96221000000.0
2019,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,16553000000.0
2019,Gross Profit,Operating Income,,,,Operating Expenses,112831000000.0
2019,Gross Profit,Operating Income,,,,Depreciation,
2019,Gross Profit,Operating Income,,,,Depreciation and Amortization,10727000000.0
2019,Gross Profit,,,,,"Selling, General and Administrative",24889000000.0
2019,Gross Profit,,,,,Research and Development,37435000000.0
2019,Operating Income,,,,,EBIT,101411000000.0
2019,Operating Income,EBIT,,,,EBITDA,112138000000.0
2019,Operating Income,EBIT,EBITDA,,,Net Income,87886000000.0
2019,Operating Income,EBIT,EBITDA,Net Income,,Net Income from Continuing Operations,80234000000.0
2019,Operating Income,EBIT,EBITDA,Net Income,,Comprehensive Income Net of Tax,
2019,Operating Income,EBIT,,,,Income Before Tax,96221000000.0
2019,Operating Income,EBIT,Income Before Tax,,,Income Tax Expense,16553000000.0
2019,Operating Income,,,,,Operating Expenses,112831000000.0
2019,Operating Income,,,,,Depreciation,
2019,Operating Income,,,,,Depreciation and Amortization,10727000000.0
2019,EBIT,,,,,EBITDA,112138000000.0
2019,EBIT,EBITDA,,,,Net Income,87886000000.0
2019,EBIT,EBITDA,Net Income,,,Net Income from Continuing Operations,80234000000.0
2019,EBIT,EBITDA,Net Income,,,Comprehensive Income Net of Tax,
2019,EBIT,,,,,Income Before Tax,96221000000.0
2019,EBIT,Income Before Tax,,,,Income Tax Expense,16553000000.0
2019,Income Before Tax,,,,,Income Tax Expense,16553000000.0
2019,EBITDA,,,,,Net Income,87886000000.0
2019,EBITDA,Net Income,,,,Net Income from Continuing Operations,80234000000.0
2019,EBITDA,Net Income,,,,Comprehensive Income Net of Tax,
2019,Net Income,,,,,Net Income from Continuing Operations,80234000000.0
2019,Net Income,,,,,Comprehensive Income Net of Tax,
2019,Net Interest Income,,,,,Interest Income,44106000000.0
2019,Net Interest Income,,,,,Interest Expense,5190000000.0
2018,Total Revenue,,,,,Cost of Revenue,107044000000.0
2018,Total Revenue,,,,,Gross Profit,143222000000.0
2018,Total Revenue,Gross Profit,,,,Operating Income,69314000000.0
2018,Total Revenue,Gross Profit,Operating Income,,,EBIT,104463000000.0
2018,Total Revenue,Gross Profit,Operating Income,EBIT,,EBITDA,111583000000.0
2018,Total Revenue,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,64093000000.0
2018,Total Revenue,Gross Profit,Operating Income,EBIT,,Income Before Tax,100403000000.0
2018,Total Revenue,Gross Profit,Operating Income,EBIT,Income Before Tax,Income Tax Expense,18199000000.0
2018,Total Revenue,Gross Profit,Operating Income,,,Operating Expenses,73414000000.0
2018,Total Revenue,Gross Profit,Operating Income,,,Depreciation,
2018,Total Revenue,Gross Profit,Operating Income,,,Depreciation and Amortization,7120000000.0
2018,Total Revenue,Gross Profit,,,,"Selling, General and Administrative",16241000000.0
2018,Total Revenue,Gross Profit,,,,Research and Development,22754000000.0
2018,Total Revenue,,,,,Non-Interest Income,
2018,Total Revenue,,,,,Other Non-Operating Income,0.0
2018,Total Revenue,,,,,Investment Income Net,
2018,Total Revenue,,,,,Net Interest Income,26929000000.0
2018,Total Revenue,Net Interest Income,,,,Interest Income,30495000000.0
2018,Total Revenue,Net Interest Income,,,,Interest Expense,3566000000.0
2018,Gross Profit,,,,,Operating Income,69314000000.0
2018,Gross Profit,Operating Income,,,,EBIT,104463000000.0
2018,Gross Profit,Operating Income,EBIT,,,EBITDA,111583000000.0
2018,Gross Profit,Operating Income,EBIT,EBITDA,,Net Income,64093000000.0
2018,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Net Income from Continuing Operations,61412000000.0
2018,Gross Profit,Operating Income,EBIT,EBITDA,Net Income,Comprehensive Income Net of Tax,
2018,Gross Profit,Operating Income,EBIT,,,Income Before Tax,100403000000.0
2018,Gross Profit,Operating Income,EBIT,Income Before Tax,,Income Tax Expense,18199000000.0
2018,Gross Profit,Operating Income,,,,Operating Expenses,73414000000.0
2018,Gross Profit,Operating Income,,,,Depreciation,
2018,Gross Profit,Operating Income,,,,Depreciation and Amortization,7120000000.0
